"mdpt_x","mdpt_y","density"
-99.4306697210618,-102.146739130435,5.91597863692956e-25
-97.5213358487176,-102.146739130435,2.66741588869816e-24
-95.6120019763733,-102.146739130435,1.16761245500315e-23
-93.7026681040291,-102.146739130435,4.96107827188759e-23
-91.7933342316849,-102.146739130435,2.04577091434081e-22
-89.8840003593406,-102.146739130435,8.18622323614247e-22
-87.9746664869964,-102.146739130435,3.17837470840461e-21
-86.0653326146521,-102.146739130435,1.19722900505751e-20
-84.1559987423079,-102.146739130435,4.37483221058415e-20
-82.2466648699636,-102.146739130435,1.55068681544494e-19
-80.3373309976194,-102.146739130435,5.33133851507065e-19
-78.4279971252751,-102.146739130435,1.77775848585203e-18
-76.5186632529309,-102.146739130435,5.74925915804589e-18
-74.6093293805866,-102.146739130435,1.80316265469719e-17
-72.6999955082424,-102.146739130435,5.48435647587129e-17
-70.7906616358981,-102.146739130435,1.61759690128375e-16
-68.8813277635539,-102.146739130435,4.62654559176687e-16
-66.9719938912096,-102.146739130435,1.28314289857002e-15
-65.0626600188654,-102.146739130435,3.45077004972919e-15
-63.1533261465211,-102.146739130435,8.99854429444736e-15
-61.2439922741769,-102.146739130435,2.27529253800517e-14
-59.3346584018326,-102.146739130435,5.57834534605021e-14
-57.4253245294884,-102.146739130435,1.32608677331295e-13
-55.5159906571441,-102.146739130435,3.05655900385142e-13
-53.6066567847999,-102.146739130435,6.8310019224006e-13
-51.6973229124556,-102.146739130435,1.4802116093083e-12
-49.7879890401114,-102.146739130435,3.10991416253347e-12
-47.8786551677672,-102.146739130435,6.33513666689023e-12
-45.9693212954229,-102.146739130435,1.25125168119026e-11
-44.0599874230787,-102.146739130435,2.3961435933508e-11
-42.1506535507344,-102.146739130435,4.44896614864077e-11
-40.2413196783902,-102.146739130435,8.00907332775795e-11
-38.3319858060459,-102.146739130435,1.39791681926106e-10
-36.4226519337017,-102.146739130435,2.36567680878798e-10
-34.5133180613574,-102.146739130435,3.88153737248189e-10
-32.6039841890132,-102.146739130435,6.17484089431132e-10
-30.6946503166689,-102.146739130435,9.52403243988569e-10
-28.7853164443247,-102.146739130435,1.42425773899791e-09
-26.8759825719804,-102.146739130435,2.06504033108008e-09
-24.9666486996362,-102.146739130435,2.90295547100126e-09
-23.0573148272919,-102.146739130435,3.95661509585018e-09
-21.1479809549477,-102.146739130435,5.2285176206925e-09
-19.2386470826034,-102.146739130435,6.69891514702389e-09
-17.3293132102592,-102.146739130435,8.32149434725238e-09
-15.4199793379149,-102.146739130435,1.00223359483443e-08
-13.5106454655707,-102.146739130435,1.17032705092492e-08
-11.6013115932264,-102.146739130435,1.32500058255708e-08
-9.69197772088219,-102.146739130435,1.45443840970776e-08
-7.78264384853794,-102.146739130435,1.54790733061662e-08
-5.8733099761937,-102.146739130435,1.59722045229647e-08
-3.96397610384945,-102.146739130435,1.59791984536772e-08
-2.0546422315052,-102.146739130435,1.54994143207729e-08
-0.14530835916095,-102.146739130435,1.45762466694473e-08
1.7640255131833,-102.146739130435,1.32906498400204e-08
3.67335938552753,-102.146739130435,1.17494293862976e-08
5.58269325787178,-102.146739130435,1.00706466732379e-08
7.49202713021603,-102.146739130435,8.36889160031605e-09
9.40136100256028,-102.146739130435,6.74292773550493e-09
11.3106948749045,-102.146739130435,5.26743311259413e-09
13.2200287472488,-102.146739130435,3.98950946702413e-09
15.129362619593,-102.146739130435,2.92961063643052e-09
17.0386964919373,-102.146739130435,2.08578831279415e-09
18.9480303642815,-102.146739130435,1.43979436083053e-09
20.8573642366258,-102.146739130435,9.63608475808675e-10
22.76669810897,-102.146739130435,6.25274405559024e-10
24.6760319813143,-102.146739130435,3.93378467639027e-10
26.5853658536585,-102.146739130435,2.39949805912001e-10
28.4946997260028,-102.146739130435,1.41905786095302e-10
30.404033598347,-102.146739130435,8.13672584000534e-11
32.3133674706913,-102.146739130435,4.52344315985839e-11
34.2227013430355,-102.146739130435,2.43813901646146e-11
36.1320352153798,-102.146739130435,1.27414150001334e-11
38.041369087724,-102.146739130435,6.45575033446628e-12
39.9507029600683,-102.146739130435,3.17136083030712e-12
41.8600368324125,-102.146739130435,1.51047817424219e-12
43.7693707047568,-102.146739130435,6.97514297885698e-13
45.678704577101,-102.146739130435,3.12292559432345e-13
47.5880384494452,-102.146739130435,1.3556264108559e-13
49.4973723217895,-102.146739130435,5.70542849177083e-14
51.4067061941337,-102.146739130435,2.32812541584786e-14
53.316040066478,-102.146739130435,9.21073605150748e-15
55.2253739388222,-102.146739130435,3.53306934252405e-15
57.1347078111665,-102.146739130435,1.31395304056577e-15
59.0440416835107,-102.146739130435,4.73780722107726e-16
60.953375555855,-102.146739130435,1.65632205526923e-16
62.8627094281992,-102.146739130435,5.61412453374706e-17
64.7720433005435,-102.146739130435,1.84496935420613e-17
66.6813771728877,-102.146739130435,5.87849467042091e-18
68.590711045232,-102.146739130435,1.81598793174243e-18
70.5000449175762,-102.146739130435,5.43913257290169e-19
72.4093787899205,-102.146739130435,1.57948747964125e-19
74.3187126622647,-102.146739130435,4.44705589140005e-20
76.228046534609,-102.146739130435,1.21394453585188e-20
78.1373804069532,-102.146739130435,3.21288335163884e-21
80.0467142792975,-102.146739130435,8.24443556849317e-22
81.9560481516417,-102.146739130435,2.05114685262353e-22
83.865382023986,-102.146739130435,4.94768951315126e-23
85.7747158963302,-102.146739130435,1.15711887471609e-23
87.6840497686745,-102.146739130435,2.62375557171778e-24
89.5933836410187,-102.146739130435,5.76817763490595e-25
91.502717513363,-102.146739130435,1.22948641699064e-25
-99.4306697210618,-99.2478260869565,1.69430096342688e-24
-97.5213358487176,-99.2478260869565,7.58104483966119e-24
-95.6120019763733,-99.2478260869565,3.29623695544294e-23
-93.7026681040291,-99.2478260869565,1.39233245353859e-22
-91.7933342316849,-99.2478260869565,5.71212288265293e-22
-89.8840003593406,-99.2478260869565,2.27555607434185e-21
-87.9746664869964,-99.2478260869565,8.80092412813534e-21
-86.0653326146521,-99.2478260869565,3.30403385706331e-20
-84.1559987423079,-99.2478260869565,1.20384241859812e-19
-82.2466648699636,-99.2478260869565,4.25642693123433e-19
-80.3373309976194,-99.2478260869565,1.46022501604635e-18
-78.4279971252751,-99.2478260869565,4.86013811818683e-18
-76.5186632529309,-99.2478260869565,1.56925171065852e-17
-74.6093293805866,-99.2478260869565,4.91493583263121e-17
-72.6999955082424,-99.2478260869565,1.49312071475987e-16
-70.7906616358981,-99.2478260869565,4.39944975552557e-16
-68.8813277635539,-99.2478260869565,1.25720524925579e-15
-66.9719938912096,-99.2478260869565,3.48417065022332e-15
-65.0626600188654,-99.2478260869565,9.36400655163804e-15
-63.1533261465211,-99.2478260869565,2.44050095663624e-14
-61.2439922741769,-99.2478260869565,6.16792565881225e-14
-59.3346584018326,-99.2478260869565,1.5115821240279e-13
-57.4253245294884,-99.2478260869565,3.59209565710694e-13
-55.5159906571441,-99.2478260869565,8.27713225320059e-13
-53.6066567847999,-99.2478260869565,1.84935874488906e-12
-51.6973229124556,-99.2478260869565,4.00650839366579e-12
-49.7879890401114,-99.2478260869565,8.41607749514577e-12
-47.8786551677672,-99.2478260869565,1.71414682935625e-11
-45.9693212954229,-99.2478260869565,3.38514581139273e-11
-44.0599874230787,-99.2478260869565,6.48178704055866e-11
-42.1506535507344,-99.2478260869565,1.20336545943343e-10
-40.2413196783902,-99.2478260869565,2.16612489317453e-10
-38.3319858060459,-99.2478260869565,3.78051266267218e-10
-36.4226519337017,-99.2478260869565,6.3973117064063e-10
-34.5133180613574,-99.2478260869565,1.04959688558875e-09
-32.6039841890132,-99.2478260869565,1.66964660272631e-09
-30.6946503166689,-99.2478260869565,2.57515014938776e-09
-28.7853164443247,-99.2478260869565,3.85084153120118e-09
-26.8759825719804,-99.2478260869565,5.58319858093955e-09
-24.9666486996362,-99.2478260869565,7.84845539385953e-09
-23.0573148272919,-99.2478260869565,1.06969127216518e-08
-21.1479809549477,-99.2478260869565,1.41353112452536e-08
-19.2386470826034,-99.2478260869565,1.81102547456844e-08
-17.3293132102592,-99.2478260869565,2.24965362951488e-08
-15.4199793379149,-99.2478260869565,2.70943271814069e-08
-13.5106454655707,-99.2478260869565,3.16382496179235e-08
-11.6013115932264,-99.2478260869565,3.5819347579424e-08
-9.69197772088219,-99.2478260869565,3.93182205154617e-08
-7.78264384853794,-99.2478260869565,4.18447365082667e-08
-5.8733099761937,-99.2478260869565,4.31775986708353e-08
-3.96397610384945,-99.2478260869565,4.31963131539612e-08
-2.0546422315052,-99.2478260869565,4.18991608112971e-08
-0.14530835916095,-99.2478260869565,3.94034574947252e-08
1.7640255131833,-99.2478260869565,3.59280484042429e-08
3.67335938552753,-99.2478260869565,3.17616569232505e-08
5.58269325787178,-99.2478260869565,2.72234302634356e-08
7.49202713021603,-99.2478260869565,2.26231289975435e-08
9.40136100256028,-99.2478260869565,1.82277299279074e-08
11.3106948749045,-99.2478260869565,1.42391004472419e-08
13.2200287472488,-99.2478260869565,1.07845629206471e-08
15.129362619593,-99.2478260869565,7.91940485350508e-09
17.0386964919373,-99.2478260869565,5.63835638662992e-09
18.9480303642815,-99.2478260869565,3.89208632026253e-09
20.8573642366258,-99.2478260869565,2.60484779388586e-09
22.76669810897,-99.2478260869565,1.69025478534284e-09
24.6760319813143,-99.2478260869565,1.06338840281929e-09
26.5853658536585,-99.2478260869565,6.48636791180371e-10
28.4946997260028,-99.2478260869565,3.83602247174471e-10
30.404033598347,-99.2478260869565,2.19953362130362e-10
32.3133674706913,-99.2478260869565,1.22278459608477e-10
34.2227013430355,-99.2478260869565,6.59081619628673e-11
36.1320352153798,-99.2478260869565,3.44427900123304e-11
38.041369087724,-99.2478260869565,1.74512815888993e-11
39.9507029600683,-99.2478260869565,8.57286932702926e-12
41.8600368324125,-99.2478260869565,4.08314642564666e-12
43.7693707047568,-99.2478260869565,1.88553055773099e-12
45.678704577101,-99.2478260869565,8.44193617122826e-13
47.5880384494452,-99.2478260869565,3.66454804248388e-13
49.4973723217895,-99.2478260869565,1.54229922470013e-13
51.4067061941337,-99.2478260869565,6.29342012551603e-14
53.316040066478,-99.2478260869565,2.48985852882443e-14
55.2253739388222,-99.2478260869565,9.55064011535444e-15
57.1347078111665,-99.2478260869565,3.55189525604399e-15
59.0440416835107,-99.2478260869565,1.28073028751938e-15
60.953375555855,-99.2478260869565,4.47739149316448e-16
62.8627094281992,-99.2478260869565,1.5176174747884e-16
64.7720433005435,-99.2478260869565,4.9873451681772e-17
66.6813771728877,-99.2478260869565,1.589082307213e-17
68.590711045232,-99.2478260869565,4.90900208257947e-18
70.5000449175762,-99.2478260869565,1.47031334228538e-18
72.4093787899205,-99.2478260869565,4.26969091824052e-19
74.3187126622647,-99.2478260869565,1.20213387285048e-19
